,question,contexts,ground_truth,evolution_type,metadata,episode_done,answer
0,Who coordinates the university's response to student emergencies and crises?,['No context'],The Emergency Response team coordinates the university's response to student emergencies and crises.,simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,"\nThe university's response to student emergencies and crises is typically coordinated by the Office of Student Affairs or the Office of Student Life, in collaboration with other departments such as Campus Security, Counseling Services, and Health Services. These offices have trained staff and resources to provide support and assistance to students in crisis situations. Additionally, some universities may have a designated Emergency Response Team or Crisis Management Team that oversees the university's response to emergencies and crises. It's always best to check with your specific university to see who the point of contact is for student emergencies and crises.\n"
1,What can visitors to the University of Florida expect to experience during a walking tour of the campus?,['No context'],Visitors to the University of Florida can expect to experience information sessions and walking tours of the campus as mentioned in the context.,simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,"\nVisitors to the University of Florida can expect an enriching and educational experience during a walking tour of the campus. The tour typically includes visits to various academic buildings, libraries, and landmarks. Some of the highlights may include the Reitz Union, which serves as a student union and cultural center, the J. Wayne Reitz History Museum, and the Harn Museum of Art. The tour may also include a walk through the beautiful campus gardens and the historic campus grounds. Visitors will have the opportunity to learn about the university's history, academic programs, and student life. Additionally, they may get to see the famous Gator statue and the Ben Hill Griffin Stadium, home of the Florida Gators football team. The tour guides are knowledgeable and passionate about the university, making the tour an enjoyable and informative experience.\n"
2,What are the important deadlines for submitting application materials to the University of Florida (UF) Admissions for prospective freshmen in the 2023-24 academic year?,['No context'],"The important deadlines for submitting application materials to the University of Florida (UF) Admissions for prospective freshmen in the 2023-24 academic year are as follows: 

Application Opens: August 8
Application Due: November 1
Student Self-Reported Academic Record (SSAR): November 15
Submit Official Test Scores: December 1
Freshman Admissions Decisions: February 23
Confirm Enrollment: May 1
Send Official Transcripts: July 15.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf'}, {'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf'}]",True,"\nThe deadline for submitting freshman applications to the University of Florida for priority consideration in the admissions process is November 1st of the year preceding enrollment. It's important to note that applications received after this date will still be considered, but priority is given to those received by the deadline. For more information, you can visit the University of Florida's admissions website.\n"
5,What is the deadline for prospective freshmen to submit their official transcripts in order to finalize their enrollment at UF for the 2023-24 academic year?,['No context'],Prospective freshmen must submit their official transcripts to the UF Office of Admissions by July 15 in order to finalize their enrollment at UF for the 2023-24 academic year.,simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Freshman_DatesAndDeadlines.pdf'}]",True,"\nTo find the available financial aid item types disbursed out of a specific department in the Student Information System, users typically follow these steps:\n\n    Log in to the Student Information System using their credentials.\n    Navigate to the Financial Aid or Scholarships module.\n    Look for an option to search or filter financial aid by department. This could be located in the search bar or under a ""Reports"" or ""Queries"" tab.\n    Enter the name or code of the specific department and run the search.\n    The results will display a list of financial aid types and the total amount disbursed for that department.\n\nAlternatively, users can contact the Financial Aid office for assistance in obtaining this information. They may be able to provide a report or direct users to the correct location within the system.\n"
6,How can parents apply for educational loans for their dependent undergraduate students at UF through the Federal Direct PLUS loan program?,['No context'],"Parents of dependent undergraduate students at UF can apply for educational loans through the Federal Direct PLUS loan program. The context does not provide specific information on how to apply, but it mentions that more information can be found on the SFA website (<http://www.sfa.ufl.edu/programs/loans/>).",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,"\nThe Division of Student Life at the University of Florida offers a wide range of facilities and services to enhance the student experience both inside and outside the classroom. Here are some of the key facilities and services:\n\n    Housing: The Division of Student Life manages on-campus housing for over 10,000 students. They offer various types of housing options, including traditional residence halls, apartment-style housing, and living-learning communities.\n\n    Dining: The Division of Student Life operates over 20 dining locations on campus, offering a variety of cuisines and dietary options. They also offer meal plans for students living on campus.\n\n    Health and Wellness: The Division of Student Life provides various health and wellness services, including the Student Health Care Center, Counseling and Wellness Center, and the Recreation and Sports Center.\n\n    Student Involvement: The Division of Student Life offers numerous opportunities for student involvement, including student organizations, leadership development, and volunteer opportunities.\n\n    Campus Recreation: The Division of Student Life provides various recreational opportunities, including intramural sports, fitness classes, and outdoor recreation.\n\n    Student Government: The Division of Student Life supports the Student Government Association, which provides opportunities for students to get involved in campus governance and decision-making.\n\n    Multicultural and Diversity Programs: The Division of Student Life offers various programs and services to support multicultural and diverse student populations, including the Multicultural and Diversity Education Center and the Multicultural Student Affairs office.\n\n    Disability Services: The Division of Student Life provides accommodations and services for students with disabilities, including academic accommodations, assistive technology, and disability counseling.\n\n    Veterans and Military Student Services: The Division of Student Life offers various services and resources for veterans and military students, including academic support, career services, and mental health counseling.\n\n    Parent and Family Programs: The Division of Student Life offers various programs and resources for parents and families of UF students, including family orientation, parent workshops, and family events.\n\nOverall, the Division of Student Life at the University of Florida is committed to providing a comprehensive range of facilities and services to support the academic, social, and personal development of students.\n"
7,"What is the purpose and significance of attending information sessions during campus visits at the University of Florida? (context: University of Florida's campus visits involve information sessions as part of the university's front door service provided by the Welcome Center, offering weekday and Saturday tours and sessions to visitors for student recruitment and academic advising.)",['No context'],"Attending information sessions during campus visits at the University of Florida is significant because they provide valuable insights into the academic programs, student life, and resources available at the university. These sessions offer opportunities for students and their families to ask questions, interact with faculty and current students, and gain a better understanding of what it means to be a part of the UF community. Information sessions are an essential component of the university's front door service provided by the Welcome Center, which aims to facilitate student recruitment and academic advising.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}, {'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,"\nThe University of Florida Police Department (UFPD) provides various services to ensure campus safety and security. Some of these services include:\n\n    Patrol and Response: UFPD officers patrol the campus 24 hours a day, seven days a week, in marked and unmarked vehicles, on foot, and on bicycles. They respond to calls for service, investigate crimes, and provide emergency assistance.\n\n    Emergency Management: UFPD coordinates emergency management plans and responses to various emergencies, such as natural disasters, active shooter situations, and other crises. They work closely with other emergency response agencies to ensure a coordinated response.\n\n    Crime Prevention: UFPD offers various crime prevention programs and resources to help prevent crimes from occurring. This includes safety education and awareness programs, crime alerts, and safety escorts.\n\n    Parking Enforcement: UFPD enforces parking regulations on campus and issues parking citations. They also provide assistance to motorists and help ensure the safety and security of campus parking facilities.\n\n    Community Policing: UFPD practices community policing, which means they work closely with the campus community to build relationships and address community concerns. They encourage students, faculty, and staff to report suspicious activity and work to address quality of life issues.\n\n    Technology and Surveillance: UFPD uses various technologies to enhance campus safety and security, including surveillance cameras, access control systems, and emergency notification systems. They also use social media and other communication tools to keep the campus community informed.\n\n    Training and Education: UFPD provides various training and education programs for students, faculty, and staff on safety and security issues. This includes self-defense classes, emergency preparedness training, and active shooter response training.\n\n    Collaboration and Partnerships: UFPD collaborates with other law enforcement agencies, emergency response agencies, and campus departments to ensure a safe and secure campus environment. They also work with student organizations and community groups to address safety concerns and promote campus safety.\n\n"
9,How can users find the available financial aid item types disbursed out of a specific department in the Student Information System?,['No context'],"Users can navigate to the Item Types report in the Student Information System by following these steps: 1. Click the NavBar icon 2. Click Main Menu 3. Click Enterprise Reporting 4. Click Access Reporting 5. Click Public Folder 6. Click Student Information 7. Click Student Financials 8. Click Reference 9. Click Item Types. Then, they need to search for the report using the DeptFlex (full or partial) in the ChartField Starts with the value: textbox and click Finish. This will display a list of the available scholarships available for awarding by the specific department.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\finding_fa_item_types_disbursed_out_of_a_dept_flex.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\finding_fa_item_types_disbursed_out_of_a_dept_flex.pdf'}]",True,"\nThe program that offers free pre-K education for all Florida 4-year-olds regardless of income is called the Florida Pre-K Program. It is a state-funded program that provides high-quality educational experiences to help prepare children for kindergarten and beyond. The program is designed to promote school readiness and improve the long-term educational success of Florida's children. It is important to note that while the program is free for eligible children, there may be certain requirements that families need to meet in order to enroll. For more information, families can contact their local Early Learning Coalition or visit the Florida Department of Education's website.\n"
11,What are some facilities and services offered by the Division of Student Life at the University of Florida for students?,['No context'],"The Division of Student Life at the University of Florida offers various facilities and services to students including, but not limited to, the Career Connections Center, Center for Inclusion & Multicultural Engagement, Center for New Student & Family Programs, Counseling and Wellness Center, David and Wanda Brown Center for Leadership & Service, Dean of Students Ofﬁce, Disability Resource Center, GatorWell Health Promotion Services, Housing and Residence Life, J. Wayne Reitz Union, Machen Florida Opportunity Scholars Program, Off Campus Life, Recreational Sports, Student Activities & Involvement, Student Government Advising & Operations, Sorority & Fraternity Life, and Student Legal Services. Additionally, the division oversees facilities such as Newell Hall, Reitz Student Union, Ben Hill Grifﬁn Stadium, Florida Museum of Natural History, Harn Museum of Art, and O’Connell Center.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,"\nThe University of Florida (UF) Libraries offer a variety of resources for students to support their academic and research needs. Here's a brief overview of what they provide:\n\n    Study Spaces: UF Libraries have numerous study spaces throughout their facilities, including quiet study areas, group study rooms, and outdoor spaces. Some libraries even have dedicated spaces for specific subjects, such as the Law Library for law students.\n\n    Research Assistance: UF Libraries offer research assistance through their Ask a Librarian service. Students can get help with finding information, using databases, and citing sources. They also have subject specialists available to help with more specific research questions.\n\n    Equipment Rentals: UF Libraries offer equipment rentals for students, including laptops, cameras, and other technology. Some libraries even have 3D printers and other specialized equipment.\n\n    Interlibrary Loan: UF Libraries offer interlibrary loan services, which allow students to borrow materials from other libraries if they are not available in the UF system. This can be especially helpful for hard-to-find materials or materials that are not available electronically.\n\n    Free Printing: UF Libraries offer free printing for students, with printing locations throughout their facilities. Students can print from their own devices or use computers in the libraries.\n\n    Legal Services: UF Libraries offer legal research resources and services through their Law Library. Students can access legal databases, find primary legal materials, and get research assistance from librarians.\n\n    Notary Services: UF Libraries offer notary services for students free of charge. This can be helpful for students who need to have documents notarized for various reasons, such as applying for a visa or renting an apartment.\n\n    Passport Services: UF Libraries offer passport services through their George A. Smathers Libraries. Students can apply for a passport or renew an existing one, and the library even offers expedited processing for an additional fee.\n\n    Community Engagement: UF Libraries offer various community engagement programs and initiatives, such as workshops, lectures, and outreach programs. These programs can help students develop skills, learn new things, and engage with their community.\n\nOverall, UF Libraries offer a wide range of resources and services to support students in their academic and research pursuits. From study spaces and research assistance to equipment rentals and community engagement opportunities, there's something for every student.\n"
13,What services does the University of Florida Police Department (UFPD) provide to ensure campus safety and security?,"["".edu/?loc=0094)\n\nCampus Safety and Security Contact: Email (wbarber@ufl.edu?Subject=Campus%20Safety%20and%20Security) | 352.273.3309\n\nThe University of Florida is one of the largest institutions of higher education in the nation. The university community is not unlike many other municipalities, and as such, has the same safety and security concerns as Anytown, USA.\n\nThe University of Florida Police Department (UFPD) recognizes that it must maintain the safest and most secure environment possible for all students, faculty and staff, and campus visitors. The UFPD has the utmost concern for personal and property safety, but with an open campus environment, safety becomes a shared responsibility.\n\nThe UFPD is a state of Florida and nationally accredited law enforcement agency. There are more than 90 fully certiﬁed and sworn ofﬁcers who patrol the UF campus and its surrounding properties 24 hours per day, every day. The department has its own Criminal Investigations Division employing highly trained detectives to investigate any reported crime on campus. The ofﬁcers of the Uniformed Patrol Division are highly trained campus law enforcement professionals who are equipped with the most contemporary crime-ﬁghting techniques and tools. The Community Services Division is proactive in providing everyone in the campus community with the very latest information regarding personal and property protection through classes, programs and documents. More Info (http://www.police.ufl.edu/) Map (http://campusmap.ufl.edu/?loc=0027)\n\nCareer Connections Center The Career Connections Center (C3) is the University of Florida’s comprehensive career services operation responsible for providing world class career and professional development for all students. As the # 2 Career Center in the country according to Best Colleges, the C3 prepares students for contributions in work, citizenship, and life. The center supports the overall student experience starting during Preview and moving beyond graduation.\n\nThe C3’s mission is to educate and create connections for the University of Florida community to facilitate the holistic career development of students. The center provides a variety of services, tools, networks, and events for UF students and alumni. Whether exploring career options, developing professional skills, ﬁnding meaningful experience, or preparing for life after graduation, the C3 is there to help students on their unique journey. Through the university’s Career Pathways initiative, students can access customized information, connections, and programs to personalize their professional development experience and community.\n\nIt's recommended that UF students engage early and often with the Career Connections Center to enhance their University of Florida experience and post-graduation success. More Info (https://career.ufl.edu/) Map (http://campusmap.ufl.edu/?loc=0686)\n\nVisit the Career Connections Center to:\n\nAssess skills and interests to help select a major\n\nExplore various career options\n\nSecure internships and other work experience before graduating\n\nConduct mock interviews\n\nPrepare for graduate school\n\nStart a job search\n\nCreate a Gator CareerLink to explore internships and full-time positions\n\nMore Info (https://career.ufl.edu/)\n\nCounseling and Wellness Center As the primary provider of mental health services on campus, the Counseling and Wellness Center (CWC) offers high quality counseling care, including clinical and outreach services. All the center’s programs and services are designed to help students develop the personal awareness and skills necessary to take advantage of the educational opportunities at the university.\n\nStudents can access crisis support services 24/7 via the CWC’s main phone line or walk-in to the 4th floor of Peabody Hall to be seen in person. Other clinical services, including group counseling, short-term individual counseling, and case management, are offered virtually or in-person at the CWC’s Radio Road ofﬁce (3190 Radio Road). These services are covered for all currently enrolled students who have paid the health fee.\n\nStudent Life\n\nTo initiate clinical services, students can schedule a brief consultation online or by phone to meet with a member of the CWC’s Consultation and Referral Team (CART) who will evaluate their needs & help connect them to appropriate resources.\n\nThe CWC’s Outreach Program offers a wide range of developmental, supportive, and preventative services that are accessible without a brief consultation or appointment. These services include workshops & events, Gator-2-Gator (a peer support program), ASK IT! (Q&A service), and Letters of Care; in addition to, focused programming for speciﬁc populations (UFGIFT, ASPIRE, and Geeky Gator Wellness). More Info (http""]","The University of Florida Police Department (UFPD) provides various services to ensure campus safety and security, including maintaining a presence on campus with over 90 fully certified and sworn officers who patrol the UF campus and its surrounding properties 24 hours per day. The department also has a Criminal Investigations Division employing highly trained detectives to investigate any reported crime on campus. Officers are equipped with contemporary crime-fighting techniques and tools. Additionally, the Community Services Division provides information regarding personal and property protection through classes, programs, and documents.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\student-life.pdf'}]",True,
16,How does establishing a new center or institute at University of Florida contribute to public service and what activities are planned for this purpose?,"[""UNIVERSITY OF FLORIDA GUIDELINES - CENTERS AND INSTITUTES March 17, 2008\n\nI. Introduction\n\nCenters and Institutes focus on domains of knowledge that reside within a discipline or are cross- disciplinary in scope. These are organizational mechanisms that can be used to provide greater depth in teaching and/or research to a focal area within a discipline, or to apply a broader vision to problems that cross traditional knowledge boundaries. Centers may help develop new areas of research that enhance faculty development, encourage interdisciplinary and multidisciplinary approaches to teaching and research, provide relevant focus for service to external and internal constituencies, and/or promote sharing of resources (e.g., equipment, labs) and collaboration across departmental and college boundaries.\n\nII. Definitions\n\nInstitutes: With some exceptions, an institute is an umbrella organization providing administrative support for two or more academic units that are working on related subjects. Institutes provide an array of services to a broadly defined population. Centers: A college or university-wide unit that provides services to a specific population.\n\nIII. Types of Centers/Institutes\n\nCenters and Institutes are classified either as (1) State of Florida centers or institutes or (2) University of Florida (UF) centers and institutes.\n\n(1) State of Florida centers or institutes have a state-wide mission, and receive state funds. In some instances they are established as a result of Legislative intent. The State of Florida centers housed at UF are:\n\nUniversity Press of Florida\n\nFor information on the State of Florida centers and institutes refer to Board of Governors Regulation 10.015 (http://www.flbog.org/about/_doc/regulations/RegsChapter10.pdf)\n\n(2) University of Florida (UF) centers and institutes have a University-wide mission. UF centers and institutes may receive state funds based on the discretion of the Dean of the college to whom they report.\n\nIV. Guidelines for Proposals to establish New Centers and Institutes\n\nIt is appropriate and desirable to create centers when the resources are available and when the establishment of a center is consistent with the long-range plans of a college and/or the University. The departments, colleges and the University should be selective in creating new centers.\n\nA. A University sanctioned center or institute is an extension of the University. It requires some degree of oversight to maintain mission concurrence within the organization. State of Florida Centers (receiving state funds) require Florida Board Of Education (FBOE) approval since state funds are expended by the Center.\n\nB. The center/institute should be closely tied to the research and educational mission and, when\n\npossible, to the strategic plan of UF (http://www.president.ufl.edu/workPlan.html). Proposals for new centers and institutes must facilitate the academic mission of UF by enhancing its teaching and research functions, fostering external fund raising, and/or facilitating interdisciplinary cooperation. These activities should be facilitated in ways that a current structure (department or college or existing center) cannot. In particular, UF expects that a proposal for a new center or institute will demonstrate how it will enhance UF’s mission in a manner not being accomplished by existing programs.\n\nThe proposal should be no more than 10 pages in length. Appendix material may be provided as specified. The following information should be included in the text of the proposal:\n\nC. Mission Statement and Goals: The mission of the center should be defined and the goals for research, teaching and public service explained. All three elements are not required for a center to be established but should be identified when they are anticipated to be part of the mission.\n\nD. Proposed Activities: Describe the activities that are planned for the center (e.g., collaborative research on the topic of (X); the intent to generate interdisciplinary resources, to design courses, to develop an interdisciplinary graduate program, attract postdoctoral fellows, create a lecture series; to establish a core service facility, provide greater focus and depth to a research area, etc.). Explain the plans to apply for external funding and identify the relationship of the center's activities with those of departments and/or other centers. Describe the advantages of the center over current structure (what unmet needs will be satisfied by having the center?) and the value of the center to the University and to the reporting unit. Describe, where possible, the synergistic and collaborative efforts existing amongst the members of the proposed center. Also describe their record in successfully garnering extramural funds.\n\nE. Reporting Structure: The proposal for a new center or institute must include a reporting structure and describe the logic of that structure at UF. In particular, the proposal should outline to whom and through whom the center or institute reports. The proposal should demonstrate appropriate levels of commitment and interest from""]","Establishing a new center or institute at University of Florida can contribute to public service by providing greater focus and depth to a research area, designing courses, developing interdisciplinary graduate programs, attracting postdoctoral fellows, creating a lecture series, establishing a core service facility, and providing external funding. Activities specifically planned for public service may include community outreach programs, public seminars and workshops, collaborative research on issues of public importance, and the development of resources and services that address the needs of specific populations or communities.",simple,"[{'source': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Guidelines_for_Centers_and_Institutes1.pdf', 'filename': 'C:\\Users\\harsh\\Downloads\\UF docs\\v3\\UF_Guidelines_for_Centers_and_Institutes1.pdf'}]",True,
